Env             Server                              Port   Service              Status    
DT_AZ1          sdpappb1038.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1039.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1039.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1039.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1039.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1039.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1039.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1039.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1040.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1040.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1040.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1040.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1040.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1040.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1040.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          sdpappb1041.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1041.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1041.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1041.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1041.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1041.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
